maketxt,modeltxt,yeartxt,component_group,topic_id,topic_label,mfr_name,months_flagged,first_month,latest_month,max_complaints,avg_complaints,median_complaints,max_growth_vs_6mo_avg,avg_topic_strength,max_watchlist_score,high_confidence_months,moderate_or_higher_months,best_signal_tier
FORD,EXPLORER,2013,STEERING,10,Steering wheel binding / difficult turning issue,FORD MOTOR COMPANY,13,2020-02-01,2025-04-01,5,3.77,4.0,5.0,0.495,9.403,0,3,Moderate signal
CHEVROLET,EQUINOX,2013,ENGINE / COOLING,15,Oil consumption / low oil issue,"GENERAL MOTORS, LLC",12,2020-01-01,2024-12-01,12,6.5,7.0,4.0,0.594,11.574,1,7,High-confidence signal
CHEVROLET,COLORADO,2015,STEERING,1,Electric power steering assist loss,"GENERAL MOTORS, LLC",12,2020-01-01,2026-01-01,10,4.67,3.5,6.67,0.509,17.338,1,5,High-confidence signal
FORD,EXPLORER,2016,STEERING,10,Steering wheel binding / difficult turning issue,FORD MOTOR COMPANY,12,2020-01-01,2024-07-01,8,5.58,6.0,3.6,0.46,9.345,0,10,Moderate signal
FORD,FOCUS,2017,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,12,2020-06-01,2025-07-01,7,4.83,5.0,4.29,0.47,11.187,0,7,Moderate signal
FORD,F-150,2014,SERVICE BRAKES,4,Brake pedal / braking performance issue,FORD MOTOR COMPANY,12,2020-06-01,2025-09-01,5,3.92,4.0,5.0,0.525,13.433,0,3,Moderate signal
HYUNDAI,TUCSON,2016,STRUCTURE,7,Door latch / lock / unintended opening issue,HYUNDAI MOTOR AMERICA,11,2020-03-01,2023-07-01,21,8.64,8.0,3.43,0.711,11.021,4,6,High-confidence signal
NISSAN,ALTIMA,2014,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"NISSAN NORTH AMERICA, INC.",11,2020-01-01,2024-01-01,21,6.55,5.0,3.0,0.825,10.32,1,6,High-confidence signal
HONDA,CR-V,2018,STEERING,10,Steering wheel binding / difficult turning issue,HONDA (AMERICAN HONDA MOTOR CO.),11,2022-06-01,2025-07-01,18,8.82,6.0,6.75,0.557,20.593,4,9,High-confidence signal
CADILLAC,SRX,2014,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"GENERAL MOTORS, LLC",11,2020-01-01,2025-12-01,14,5.82,5.0,5.0,0.762,16.011,0,6,Moderate signal
FORD,EDGE,2013,SERVICE BRAKES,4,Brake pedal / braking performance issue,FORD MOTOR COMPANY,11,2020-01-01,2024-06-01,13,8.0,8.0,3.0,0.621,11.575,4,10,High-confidence signal
FORD,ESCAPE,2016,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,11,2020-01-01,2025-04-01,12,4.64,4.0,4.36,0.47,16.486,1,2,High-confidence signal
RAM,2500,2018,SERVICE BRAKES,4,Brake pedal / braking performance issue,"CHRYSLER (FCA US, LLC)",11,2022-12-01,2026-01-01,12,7.73,7.0,7.0,0.448,11.975,3,11,High-confidence signal
FORD,EXPLORER,2011,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,11,2020-01-01,2024-10-01,11,5.55,5.0,8.0,0.521,14.481,1,7,High-confidence signal
FORD,EDGE,2016,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,11,2020-08-01,2025-07-01,11,6.55,7.0,4.29,0.624,14.134,3,7,High-confidence signal
GMC,CANYON,2016,STEERING,1,Electric power steering assist loss,"GENERAL MOTORS, LLC",11,2021-04-01,2025-05-01,10,4.55,4.0,4.29,0.497,13.562,1,3,High-confidence signal
RAM,1500,2014,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,"CHRYSLER (FCA US, LLC)",11,2020-01-01,2025-08-01,9,4.27,4.0,5.0,0.505,20.562,0,4,Moderate signal
FORD,ESCAPE,2015,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,11,2020-07-01,2025-07-01,8,4.0,4.0,4.0,0.584,12.824,0,2,Moderate signal
FORD,FOCUS,2015,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,11,2020-01-01,2025-07-01,8,4.45,4.0,3.43,0.486,11.373,0,4,Moderate signal
FORD,ESCAPE,2010,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,11,2020-01-01,2024-10-01,7,4.18,4.0,6.0,0.512,16.516,0,3,Moderate signal
ACURA,RDX,2013,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,HONDA (AMERICAN HONDA MOTOR CO.),11,2022-01-01,2026-02-01,5,3.64,4.0,4.0,0.847,10.698,0,1,Moderate signal
FORD,EXPLORER,2012,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,11,2021-01-01,2025-06-01,5,3.64,3.0,3.33,0.45,8.193,0,2,Moderate signal
RAM,2500,2018,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,"CHRYSLER (FCA US, LLC)",10,2021-08-01,2023-03-01,66,25.3,12.5,4.8,0.571,24.102,6,8,High-confidence signal
FORD,ESCAPE,2020,STRUCTURE,7,Door latch / lock / unintended opening issue,FORD MOTOR COMPANY,10,2022-02-01,2025-04-01,49,19.1,9.0,6.39,0.649,22.041,5,7,High-confidence signal
FORD,EXPLORER,2017,STRUCTURE,8,Windshield / glass cracking issue,FORD MOTOR COMPANY,10,2022-12-01,2025-06-01,27,10.1,9.0,6.75,0.504,17.502,3,8,High-confidence signal
FORD,EDGE,2017,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,10,2020-07-01,2024-07-01,27,13.7,11.0,10.0,0.592,14.358,7,10,High-confidence signal
FORD,ECOSPORT,2018,ENGINE / COOLING,15,Oil consumption / low oil issue,FORD MOTOR COMPANY,10,2020-11-01,2025-12-01,20,9.0,6.5,4.96,0.404,19.432,3,6,High-confidence signal
KIA,TELLURIDE,2020,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"KIA AMERICA, INC.",10,2020-01-01,2025-03-01,19,7.1,5.0,6.71,0.753,18.763,3,5,High-confidence signal
FORD,ESCAPE,2014,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,10,2020-01-01,2024-01-01,16,6.1,5.0,3.0,0.566,16.47,1,6,High-confidence signal
FORD,FUSION,2012,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,10,2020-01-01,2025-07-01,12,8.7,9.0,2.35,0.542,11.017,3,10,High-confidence signal
FORD,ESCAPE,2014,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,10,2020-03-01,2025-05-01,11,4.8,4.5,4.0,0.478,14.469,1,5,High-confidence signal
FORD,FOCUS,2016,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,10,2020-01-01,2025-04-01,10,5.8,5.0,4.29,0.507,15.728,1,6,High-confidence signal
CHEVROLET,EQUINOX,2016,ENGINE / COOLING,15,Oil consumption / low oil issue,"GENERAL MOTORS, LLC",10,2020-01-01,2025-02-01,10,5.3,4.0,5.25,0.501,15.216,1,3,High-confidence signal
FORD,FOCUS,2012,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,10,2020-01-01,2025-08-01,9,4.8,4.0,5.0,0.481,16.764,0,4,Moderate signal
FORD,ESCAPE,2015,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,10,2020-10-01,2025-08-01,8,4.8,4.0,6.0,0.448,15.097,0,4,Moderate signal
FORD,ESCAPE,2017,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,10,2022-04-01,2025-05-01,8,4.3,4.0,5.0,0.449,14.58,0,3,Moderate signal
HYUNDAI,TUCSON,2016,ENGINE / COOLING,15,Oil consumption / low oil issue,HYUNDAI MOTOR AMERICA,10,2020-11-01,2026-01-01,8,5.0,4.5,4.36,0.475,13.723,0,5,Moderate signal
FORD,EDGE,2016,SERVICE BRAKES,4,Brake pedal / braking performance issue,FORD MOTOR COMPANY,10,2020-12-01,2026-01-01,8,4.4,4.0,6.0,0.598,12.733,0,5,Moderate signal
FORD,FUSION,2015,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,10,2020-02-01,2025-06-01,7,4.4,4.0,4.0,0.628,12.624,0,4,Moderate signal
CHEVROLET,EQUINOX,2015,ENGINE / COOLING,15,Oil consumption / low oil issue,"GENERAL MOTORS, LLC",10,2021-01-01,2026-01-01,7,4.0,3.5,6.0,0.508,12.574,0,2,Moderate signal
FORD,ESCAPE,2008,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,10,2020-01-01,2025-02-01,6,4.1,4.0,5.0,0.525,15.383,0,3,Moderate signal
FORD,EXPLORER,2014,STEERING,10,Steering wheel binding / difficult turning issue,FORD MOTOR COMPANY,10,2020-07-01,2024-07-01,6,4.3,4.5,4.29,0.469,14.632,0,5,Moderate signal
FORD,F-150,2012,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,10,2020-03-01,2025-03-01,6,4.0,3.5,4.0,0.462,14.632,0,3,Moderate signal
FORD,ESCAPE,2013,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,10,2020-01-01,2023-08-01,6,3.9,4.0,4.0,0.548,10.755,0,2,Moderate signal
KIA,OPTIMA,2017,ENGINE / COOLING,15,Oil consumption / low oil issue,"KIA AMERICA, INC.",10,2022-04-01,2025-10-01,5,3.4,3.0,4.0,0.548,11.9,0,1,Moderate signal
FORD,ESCAPE,2011,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,10,2020-02-01,2025-02-01,5,4.1,4.5,5.0,0.518,11.174,0,5,Moderate signal
JEEP,COMPASS,2018,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",10,2020-01-01,2026-01-01,5,3.6,3.0,5.0,0.463,11.147,0,2,Moderate signal
CHEVROLET,SILVERADO 1500,2017,POWER TRAIN,6,Transmission shifting / gear engagement issue,"GENERAL MOTORS, LLC",10,2020-09-01,2026-01-01,4,3.3,3.0,3.0,0.487,7.585,0,0,Early signal
FORD,ESCAPE,2018,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,9,2020-07-01,2024-06-01,40,16.44,16.0,5.14,0.59,13.617,5,6,High-confidence signal
HYUNDAI,TUCSON,2016,LATCHES/LOCKS/LINKAGES,7,Door latch / lock / unintended opening issue,HYUNDAI MOTOR AMERICA,9,2021-03-01,2023-03-01,26,9.22,8.0,13.0,0.721,19.919,3,6,High-confidence signal
FORD,EDGE,2018,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,9,2022-07-01,2025-05-01,24,11.78,9.0,4.29,0.587,16.766,4,9,High-confidence signal
RAM,2500,2017,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,"CHRYSLER (FCA US, LLC)",9,2021-12-01,2025-08-01,24,9.44,5.0,4.91,0.575,13.006,3,5,High-confidence signal
FORD,ESCAPE,2017,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,9,2020-06-01,2023-08-01,24,10.44,5.0,4.0,0.565,12.941,4,8,High-confidence signal
FORD,F-150,2013,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,9,2020-01-01,2025-03-01,21,8.89,7.0,4.62,0.474,22.367,4,5,High-confidence signal
FORD,FUSION,2017,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,9,2020-03-01,2024-08-01,18,7.22,5.0,3.0,0.613,11.724,2,5,High-confidence signal
HONDA,ACCORD,2018,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,HONDA (AMERICAN HONDA MOTOR CO.),9,2023-04-01,2025-10-01,17,8.56,7.0,6.0,0.479,14.044,3,7,High-confidence signal
HYUNDAI,SONATA,2017,ENGINE / COOLING,15,Oil consumption / low oil issue,HYUNDAI MOTOR AMERICA,9,2021-04-01,2025-09-01,15,7.0,6.0,6.0,0.589,13.831,1,9,High-confidence signal
HYUNDAI,SONATA,2016,ENGINE / COOLING,15,Oil consumption / low oil issue,HYUNDAI MOTOR AMERICA,9,2020-11-01,2025-10-01,14,6.22,6.0,4.29,0.611,17.846,1,7,High-confidence signal
TOYOTA,RAV4,2019,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,TOYOTA MOTOR CORPORATION,9,2023-07-01,2025-07-01,14,6.78,6.0,5.0,0.557,14.061,1,6,High-confidence signal
JEEP,WRANGLER,2014,ENGINE / COOLING,15,Oil consumption / low oil issue,"CHRYSLER (FCA US, LLC)",9,2020-01-01,2023-02-01,13,6.11,5.0,4.0,0.502,12.468,2,5,High-confidence signal
HONDA,ACCORD,2013,STEERING,10,Steering wheel binding / difficult turning issue,HONDA (AMERICAN HONDA MOTOR CO.),9,2021-05-01,2025-07-01,11,5.78,5.0,11.0,0.461,16.533,1,5,High-confidence signal
NISSAN,ALTIMA,2015,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"NISSAN NORTH AMERICA, INC.",9,2020-01-01,2025-09-01,11,6.33,6.0,3.27,0.798,13.83,1,6,High-confidence signal
FORD,FUSION,2016,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,9,2020-06-01,2023-08-01,11,7.56,8.0,3.64,0.618,13.003,2,8,High-confidence signal
FORD,EXPLORER,2013,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,9,2020-01-01,2025-03-01,11,7.78,8.0,3.0,0.516,11.481,0,8,Moderate signal
KIA,SOUL,2014,ENGINE / COOLING,15,Oil consumption / low oil issue,"KIA AMERICA, INC.",9,2020-01-01,2023-07-01,10,6.33,6.0,4.0,0.462,14.107,1,6,High-confidence signal
FORD,EXPLORER,2016,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,9,2020-05-01,2024-07-01,9,4.33,3.0,7.71,0.464,17.538,0,3,Moderate signal
FORD,EXPLORER,2020,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,9,2020-02-01,2025-03-01,8,5.67,6.0,4.29,0.48,12.198,0,7,Moderate signal
RAM,2500,2017,ELECTRICAL SYSTEM,12,Cruise / traction / electronic braking control issue,"CHRYSLER (FCA US, LLC)",9,2023-01-01,2025-09-01,8,5.11,4.0,4.0,0.542,9.071,0,4,Moderate signal
FORD,FOCUS,2013,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,9,2020-01-01,2025-06-01,7,4.67,5.0,5.0,0.507,14.845,0,5,Moderate signal
CADILLAC,SRX,2016,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"GENERAL MOTORS, LLC",9,2020-01-01,2023-05-01,7,4.0,4.0,5.0,0.828,14.29,0,2,Moderate signal
HYUNDAI,SANTA FE SPORT,2018,ENGINE / COOLING,15,Oil consumption / low oil issue,HYUNDAI MOTOR AMERICA,9,2023-04-01,2025-10-01,7,5.0,5.0,4.0,0.647,11.892,0,5,Moderate signal
FORD,FUSION,2017,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,9,2020-02-01,2025-07-01,6,4.56,5.0,5.14,0.539,11.726,0,5,Moderate signal
TOYOTA,PRIUS,2010,SERVICE BRAKES,4,Brake pedal / braking performance issue,TOYOTA MOTOR CORPORATION,9,2020-02-01,2024-10-01,6,4.89,5.0,4.5,0.437,9.839,0,6,Moderate signal
TOYOTA,PRIUS,2011,SERVICE BRAKES,4,Brake pedal / braking performance issue,TOYOTA MOTOR CORPORATION,9,2020-02-01,2025-10-01,5,3.22,3.0,3.0,0.455,7.609,0,1,Moderate signal
KIA,SOUL,2017,ENGINE / COOLING,15,Oil consumption / low oil issue,"KIA AMERICA, INC.",9,2020-07-01,2025-07-01,4,3.11,3.0,4.0,0.416,9.243,0,0,Early signal
HONDA,PILOT,2017,ENGINE / COOLING,17,Vehicle shutoff / stall while driving issue,HONDA (AMERICAN HONDA MOTOR CO.),8,2020-09-01,2023-08-01,43,11.12,4.5,43.0,0.464,21.438,2,4,High-confidence signal
RAM,1500,2013,STEERING,1,Electric power steering assist loss,"CHRYSLER (FCA US, LLC)",8,2020-06-01,2024-06-01,39,12.0,4.5,15.6,0.512,25.517,3,4,High-confidence signal
FORD,F-150,2017,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,8,2020-02-01,2026-02-01,38,11.5,4.5,6.33,0.529,24.1,3,4,High-confidence signal
FORD,F-150,2016,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,8,2022-09-01,2026-02-01,30,11.62,6.0,10.59,0.486,25.338,3,5,High-confidence signal
RAM,2500,2018,ELECTRICAL SYSTEM,12,Cruise / traction / electronic braking control issue,"CHRYSLER (FCA US, LLC)",8,2021-12-01,2025-12-01,25,8.25,6.0,4.8,0.555,13.929,3,4,High-confidence signal
FORD,F-150,2020,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,8,2023-03-01,2026-02-01,16,8.12,6.5,4.29,0.601,15.099,3,6,High-confidence signal
HONDA,PILOT,2019,ENGINE / COOLING,17,Vehicle shutoff / stall while driving issue,HONDA (AMERICAN HONDA MOTOR CO.),8,2022-06-01,2025-04-01,16,7.38,5.0,14.0,0.454,14.98,3,5,High-confidence signal
SUBARU,OUTBACK,2020,VISIBILITY / WIPER,8,Windshield / glass cracking issue,"SUBARU OF AMERICA, INC.",8,2020-01-01,2024-11-01,16,5.88,4.5,3.0,0.752,8.378,0,4,Moderate signal
RAM,1500,2015,STEERING,1,Electric power steering assist loss,"CHRYSLER (FCA US, LLC)",8,2020-02-01,2025-04-01,15,5.75,4.0,10.0,0.536,20.176,1,3,High-confidence signal
JEEP,WRANGLER,2018,STEERING,10,Steering wheel binding / difficult turning issue,"CHRYSLER (FCA US, LLC)",8,2020-01-01,2022-10-01,15,6.88,5.5,4.0,0.484,13.235,1,5,High-confidence signal
NISSAN,ALTIMA,2013,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"NISSAN NORTH AMERICA, INC.",8,2020-01-01,2024-11-01,14,8.38,7.0,3.0,0.791,11.457,1,6,High-confidence signal
HONDA,PILOT,2016,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,HONDA (AMERICAN HONDA MOTOR CO.),8,2020-01-01,2025-03-01,13,6.12,4.5,11.14,0.483,14.528,2,4,High-confidence signal
CHEVROLET,VOLT,2017,POWER TRAIN,17,Vehicle shutoff / stall while driving issue,"GENERAL MOTORS, LLC",8,2020-01-01,2025-07-01,12,5.62,5.0,5.0,0.542,13.31,1,5,High-confidence signal
KIA,SOUL,2015,ENGINE / COOLING,15,Oil consumption / low oil issue,"KIA AMERICA, INC.",8,2020-01-01,2025-03-01,11,5.0,3.5,3.88,0.488,20.411,1,3,High-confidence signal
HONDA,PILOT,2019,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,HONDA (AMERICAN HONDA MOTOR CO.),8,2020-01-01,2025-04-01,11,5.0,3.5,8.0,0.449,13.68,1,3,High-confidence signal
FORD,MUSTANG MACH E,2021,FORWARD COLLISION AVOIDANCE,12,Cruise / traction / electronic braking control issue,FORD MOTOR COMPANY,8,2022-10-01,2025-10-01,10,5.0,3.5,10.0,0.505,15.086,1,3,High-confidence signal
CADILLAC,SRX,2012,EXTERIOR LIGHTING,18,Headlight / low beam visibility issue,"GENERAL MOTORS, LLC",8,2020-01-01,2021-11-01,10,5.25,4.5,4.0,0.809,12.151,0,4,Moderate signal
FORD,EDGE,2020,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,8,2024-05-01,2025-09-01,10,5.75,4.0,4.5,0.498,11.746,2,4,High-confidence signal
CHEVROLET,EQUINOX,2017,ENGINE / COOLING,15,Oil consumption / low oil issue,"GENERAL MOTORS, LLC",8,2021-03-01,2026-01-01,9,6.0,6.0,7.71,0.399,14.655,0,7,Moderate signal
KIA,SOUL,2016,ENGINE / COOLING,15,Oil consumption / low oil issue,"KIA AMERICA, INC.",8,2020-04-01,2023-06-01,9,6.0,5.5,4.29,0.504,12.857,0,7,Moderate signal
RAM,1500,2021,ENGINE / COOLING,17,Vehicle shutoff / stall while driving issue,"CHRYSLER (FCA US, LLC)",8,2021-04-01,2024-07-01,9,5.0,3.5,3.5,0.411,11.037,0,3,Moderate signal
RAM,3500,2017,SERVICE BRAKES,12,Cruise / traction / electronic braking control issue,"CHRYSLER (FCA US, LLC)",8,2022-12-01,2026-01-01,9,5.12,4.0,3.43,0.605,10.576,0,3,Moderate signal
KIA,SORENTO,2016,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,"KIA AMERICA, INC.",8,2023-01-01,2025-07-01,8,5.0,4.5,6.0,0.458,13.521,0,4,Moderate signal
CHEVROLET,VOLT,2017,ELECTRICAL SYSTEM,17,Vehicle shutoff / stall while driving issue,"GENERAL MOTORS, LLC",8,2020-05-01,2024-09-01,8,6.0,6.0,8.0,0.497,13.43,0,7,Moderate signal
GMC,ACADIA,2017,POWER TRAIN,17,Vehicle shutoff / stall while driving issue,"GENERAL MOTORS, LLC",8,2020-01-01,2025-03-01,8,5.12,4.5,4.67,0.563,11.798,0,4,Moderate signal
KIA,SOUL,2015,ENGINE / COOLING,2,Check engine light / engine fault complaints,"KIA AMERICA, INC.",8,2020-04-01,2023-11-01,7,4.75,5.0,6.0,0.402,18.557,0,5,Moderate signal
HONDA,CIVIC,2017,STEERING,10,Steering wheel binding / difficult turning issue,HONDA (AMERICAN HONDA MOTOR CO.),8,2023-06-01,2025-07-01,7,5.12,5.0,7.0,0.563,15.6,0,4,Moderate signal
FORD,FUSION,2019,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,8,2021-06-01,2025-08-01,7,5.12,6.0,5.14,0.59,12.898,0,5,Moderate signal
FORD,ESCAPE,2018,POWER TRAIN,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,8,2023-01-01,2025-09-01,7,3.62,3.0,4.2,0.556,12.227,0,1,Moderate signal
FORD,EXPLORER,2016,ENGINE / COOLING,16,Coolant leak / cylinder intrusion / overheating issue,FORD MOTOR COMPANY,8,2022-03-01,2024-06-01,7,4.62,4.5,3.0,0.468,7.943,0,4,Moderate signal
FORD,EXPLORER,2015,STEERING,1,Electric power steering assist loss,FORD MOTOR COMPANY,8,2020-07-01,2025-06-01,6,3.75,3.5,4.0,0.51,13.517,0,1,Moderate signal
JEEP,CHEROKEE,2015,POWER TRAIN,6,Transmission shifting / gear engagement issue,"CHRYSLER (FCA US, LLC)",8,2020-02-01,2025-07-01,6,4.25,3.5,4.5,0.455,12.196,0,3,Moderate signal
FORD,F-350,2019,STEERING,10,Steering wheel binding / difficult turning issue,FORD MOTOR COMPANY,8,2020-01-01,2022-10-01,6,3.88,4.0,4.0,0.508,12.193,0,1,Moderate signal
GMC,ACADIA,2019,POWER TRAIN,17,Vehicle shutoff / stall while driving issue,"GENERAL MOTORS, LLC",8,2021-04-01,2025-07-01,6,3.75,3.0,5.14,0.538,11.135,0,2,Moderate signal
CHEVROLET,SILVERADO 1500,2017,SERVICE BRAKES,4,Brake pedal / braking performance issue,"GENERAL MOTORS, LLC",8,2020-04-01,2023-12-01,6,4.12,3.5,4.5,0.486,9.761,0,3,Moderate signal
CHEVROLET,CORVETTE,2008,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,"GENERAL MOTORS, LLC",8,2020-01-01,2023-06-01,6,4.0,4.0,3.43,0.552,8.332,0,2,Moderate signal
FORD,F-150,2014,POWER TRAIN,6,Transmission shifting / gear engagement issue,FORD MOTOR COMPANY,8,2022-01-01,2026-02-01,6,4.0,3.5,3.0,0.435,7.731,0,3,Moderate signal
HONDA,CR-V,2019,FUEL / PROPULSION,9,Fuel pump / fuel tank / leak or odor issue,HONDA (AMERICAN HONDA MOTOR CO.),8,2021-10-01,2026-01-01,6,4.5,4.5,3.0,0.481,7.724,0,4,Moderate signal
